Object Code,Description
450707,Technology Fee
450708,Reconnection Fees
450709,Fire Line Charges
450710,M & R City Water
450711,Capital Improvement Fees
450712,Water Meter Services
450730,M & R City Water
451000,Employee Cont Health Insurance
451001,Employee Cont Life Insurance
451002,Employee Cont Dental Insurance
451003,Retiree Contribution Insurance
451004,COBRA
451005,Wellness Program
451006,Retiree Cont Life Ins
451020,Retiree U 65 Healthcare Contr
451021,Retiree O 65 Healthcare Contr
451050,Charges for Services
451051,Charges for Services - Medical
451052,Charges for Services - Dental
451053,Charges for Services - Life
451054,Charges for Services - Retiree
451055,Charges for Serv. - Lt. Disab.
451060,Employer Contributions - OPEB
453001,NC Homeowners Process Fees
453002,WNC Air Quality Fee 3%
453100,Chrgs for Serv-Plan Review Fee
453101,Chrgs for Serv - Address Fee
453102,Charges for Services-Exam Fee
453707,Chrgs for Serv-DSD Technology
460000,Income from Investments
460001,Mark to Market - Investments
460002,OPEB-MTM-LTIF
460003,Realized Gain/Loss on Invstmts
460004,Inc from Inv - Powell Bill
460998,Inc from Inv - Powell Bill
461000,Inc from Invest - Lease Proc
462000,Inc from Invest - Bond Proc
470000,Capital Contributions
471000,Capital Contributions - Cash
476000,Capital Contributions - FA
481401,Fines & Fees Prop Foreclosures
481402,Fines & Fees Court Fees
481405,Fines & Fees Non Resid Entry
481406,Fines & Fees Encroachment Ag
481454,Fines & Fees False Alarms
481455,Fines & Fees Permit Penalties
481472,Fines & Fees Zoning Citations
481473,Fines & Fees Sign Citations
481474,Fines & Fees Litter Control Ci
481475,Fines & Fees Noise Ordinance
481476,Fines & Fees Animal Control Vi
481477,Fines & Fees Animal Control
481479,Fines & Fees Tamper Chgs
482400,Fines & Fees Prkng Lt Fee Mnth
482401,Fines & Fees Civ Ctr Gar Pkng
482402,Fines & Fees Wall St Pkng Gar
482403,Fines & Fees After Hrs Parking
482404,Fines & Fees Pkng Gar Monthly
482405,Fines & Fees Pkng Gar Sp Evnts
482406,Fines & Fees Pkng Gar Transnt
482407,Fines & Fees Peripheral Parkng
482408,Fines & Fees Lot 17
482409,Fines & Fees Boot Fees
482410,Fines & Fees Parking Meters
482411,Fines & Fees Lot 18
482412,Fines & Fees Passport parking
482420,Fines & Fees In Lieu Of
482450,Fines & Fees Adjustments
482451,Fines & Fees Bad Debt Recov
482456,Fines & Fees Pkng Cit Penalty
482457,Fines & Fees Handicap Penalty
482458,Fines & Fees Firelane
482470,Fines & Fees Parking Cit Fee
482471,Fines & Fees Handicap Pkg Fee
482478,Fines & Fees Towing Ordinance
482480,Fines & Fees Return Check Chg
482482,Fines & Fees Interest - Late C
483000,In-Kind External Participation
483300,Private Donations
483301,Private Donations - Nature Ctr
483302,Friends of Nature Ctr Foundatn
483303,Ashe Parks & Grnwy Foundat
483304,Private Donations - Restricted
483305,Sponsorships
483307,Sponsorships - Fireworks
483308,Sponsorships - Civic Center
483330,Pack Sq Consrvncy Private Dona
484218,Agency PI - MHO
484400,Rents - Rental Income
484401,Rents - Holiday Inn Airport
484402,Rents - Tower Rental
484403,Rents - Facilities
484404,Rents - Park Shelters
484405,Rents - McCormick Field
484407,Rents - Equipment Rental
484408,Rents - Buildings & Arena
484409,Rents - Auditorium
484410,Rents - Exhibit Space
484411,Rents - Meeting Room
484412,Rents - Vendors & Booths
484413,Rents - Bicycle Locker Rental
484415,Rents - Facility Fees
484420,Rents - Skate Rental
484430,Rents - Bee Tree
484440,Rents - Mills River
484441,Rents - Van Rental
484500,Pool Admission - Lockers
484501,Skate Admission
484502,Admission Fees
484503,Green Fees
484510,Festivals Tickets
484512,Admission Fees
484516,Conference Meeting Revenue
484520,Civic Center Ticket Office
484521,Civic Ctr Ticket Office Hdlng
485000,Insurance Recovery
485001,Health Services Charges
485002,Prescrips Rebates & Refunds
485003,Subrogation Claims Refunds
486000,Sale of Capital Assets
486001,Sale of Capital Asset  -  Land
486100,Gain/Loss on Disposal of CA
488003,2% Capital Maint Fee
488004,Revolving Loan
488006,Sectn 108 Loan Repayment
488010,Program Income
488011,Program Income Interest
488012,Reimbursement
488013,Vanpooling Fuel Revenue
488014,Energy Efficiency Rebate
488020,Repayment
488021,MSD Reimbursement
488022,$3 Million  Grant
489000,Other Miscellaneous Revenue
489001,Other Misc In Lieu of Sidewalk
489002,Other Misc In Lieu of Sidewalk
489010,Cemetary Interment Fees
489011,Repair Recov - Tamp Fees
489014,Bunc County Shuttle Service
489020,Destruction of Property
489203,Contingency Revenue
489900,ABC Revenue - Component Unit
489905,Unclaimed Deposits
489999,FY09 Project Revenues
491001,Water Revenue Bond Sales 2001
491002,Water Revenue Bond Sales 2008
491003,Premium on Wtr Rev Bond 2008
491010,Sale of Cert of Part 97-A
491012,Sale of Cert of Part Prking Dk
491013,Sale of Certificate of Part
492000,Installment Purch Proceed
492001,Installment Purch Premiums
492002,Proceeds of Debt - refunding
492003,Proceeds of Debt - Refund Prem
493000,Debt Proceeds - DENR Funded
497000,Intrafund Project Transfer In
498000,Charges to Other Funds
498001,Charges to Other Funds
498002,Charges to Other Funds
498003,Oper Transfers Other Funds
498100,Oper Transfers from General Fd
498101,Oper Transfers Gen Fd Subsidy
498200,Oper Transfers Grant Fund
498201,Oper Transfers CDBG Fund
498202,Oper Transfers Cap Reserve Fd
498203,Oper Transfers HOME
498204,Oper Transfers Af Housing Trus
498221,Transfers from CDBG-R Project
498301,Tr From Water Fd - Street Cut
498302,Tr From Stormw Fd - Street Cut
498401,Oper Transfers Cap Project Fd
498403,Oper Transfers Street SW CapPr
498510,Oper Trans from Cemetery Fund
498600,Transfer Wtr Rev Fund-Sullivan
498601,Transfer Water Revenue Fund
498602,Transfer From Water Oper 94/95
498603,Transfer From Water Oper 98/99
498604,Transfer From Water Oper 99/00
498605,Transfer From Water Oper 00/01
498606,Transfer From Water Oper 01/02
498607,Transfer From Water Oper 02/03
498608,Transfer From Water Oper 03/04
498609,Transfer From Water Oper 04/05
498610,Transfer From Water Oper 05/06
498611,Transfer From Water Oper 06/07
498612,Transfer From Water Oper 07/08
498613,Transfer From Water Oper 08/09
498614,Transfer From Water Oper 09/10
498615,Transfer From Water Oper 10/11
498616,Transfer From Water Oper 11/12
498617,Transfer From Water Oper 12/13
498618,Transfer from Water Oper 13/14
498619,Transfer From Wtr Cap Proj Fd
498620,Oper Transfer from Prkg Srvcs
498621,Oper Trfrs from Prkg Srvcs CP
498622,Oper Transfers from StreetCuts
498624,Oper Transfers from Strm Wtr
498626,Operating Transfer CivicCtr Op
498630,Oper Transfers Civic Ctr Fund
498631,Oper Transfers Civic Ctr Cap
498632,Oper Transfers CivCt Cap Pr Fd
498633,Oper Transfers Parking Service
498634,Oper Transfers  Festivals
498635,Oper Transfers Transit MtrVeh
498636,Oper Transfers Transit Operat
498637,Oper Trfrs from Strm Water Cap
498638,Oper Transfers Transit Cap Pro
498639,Oper Transfers from Strm Wtr
498641,Oper Trans from Water Cap Fd
498642,Oper Transfers Golf Course
498643,Oper Tran from Parking Cap Pro
498800,Oper Transfers Insurance Fd
498999,Intrafund Project Transfers
499000,In-Kind Internal Participation
499100,Appropriated Fund Balance
499101,Approp Fund Bal Res for Enc
499102,Appropriated Fund Bal Loan
499900,Other Financing Sources
499910,Other Financing Sources- PPA
499999,Other Financing Sources GASB54
500000,Internal Service Fund Contra
510000,Payroll History Conversion
511000,In-Kind Expenditures
511001,Compensation - Full Time Reg
511002,Compensation - Part Time
511003,Compensation - Temp/Seasonal
511004,Compensation - Overtime
511005,Fire Dept Vacation Deferral
511006,Police Separation Allowance
511008,Compensation - Stand By Pay
511010,Quality of Serv Award
511997,Contra Salaries and Wages FEMA
511998,Contra Salaries and Wages-PB
511999,Contra Salaries and Wages
512001,FICA Tax Expense
512002,Employer - LGERS
512003,Employer - Police 401(K)
512004,Police Separation Allowance
512005,Employer - 401(K)
512006,Employer - 457
512007,Employer - 401(A)
512008,Group Disability
512009,Supplemental Disability
512010,Workers Compensation
512011,Unemployment
512012,Vehicle Allowance
512013,Tuition Reimbursement
512014,Group Insurance Expense
512015,Other Fringe Benefits
512016,Expense Allowance
512017,Firefighter Pension
512018,Phone Allowance
512019,Retiree OPEB Expense
512020,Fringe Ben - Housing Allowance
512021,LGERS Settlement
512024,OPEB Pension Contributions
512106,Police Sep Allow FICA (GASB34)
512999,Contra Fringe Benefits
521000,In-Kind Services - External
521001,Contracted Services
521002,Professional Services
521003,Legal Services
521004,Rental/Lease
521005,Rental/Lease - Computers
521006,Services - Janitorial
521007,Services - Outside Printing
521008,Services - Copying and Dupl
521009,Services - Advertising
521010,Services - Security
521011,Fire Rescue Auto Aid Ageements
521012,County 911 Dispatch
521013,Auction Expenses
521014,Transit Monthly Management Fee
521015,Transit Operations Charge
521016,Legal Serv - Annexation Contrt
521017,Services - Information Tech
521018,Pack Square Contract
521019,Cont Ser - Maint & Rep - Equip
521020,Cont Ser - Maint & Rep - Build
521021,Cont Ser - Maint & Rep - Lawn
521022,Legal Serv - Civil Service
521099,In-Kind Services - Internal
522001,Maintenance and Repairs
522002,Maint & Repair - Equipment
522003,Maint & Repair - Buildings
522004,Maint & Repair - Lawn
522005,Maint & Repairs - Urban Trail
522006,Vandalism Repair
522007,Demolition
522008,Main.&Repairs-Wayfinding Signs
522009,Maint. & Rep. - McCormick Fld
522997,Maint & Repairs - FEMA
523001,Training
523002,Dues & Subscriptions
524001,Supplies - Other
524002,Supplies - Chemical & Lab
524003,Supplies - Safety Equipment
524004,Supplies - Books/Audio Visual
524005,Supplies - Uniforms
524006,Supplies - Fleet Parts
524007,Supplies - Fleet Ext Agency Ch
524008,Supplies - ERT Ammunition
524009,Services - Postage
524010,Information Tech Purchases
524016,Supplies - Fleet Bench Stock
524101,Materials
524102,Materials - CNG
524103,Materials - Sidewalks
524104,Services - Laundry/Dry Clean
524105,Inventory Adjustment
524106,Materials - Water Meter Maint.
524107,Water Inventory Adjustment
524997,Contra Non-Labor - FEMA
524998,Contra Non-Labor - Powell Bill
524999,Contra Non-Labor
525000,Undefined Claims
525001,Insurance & Bonds
525002,Insurance - Claims
525003,Insurance - Property Claims
525004,Admin. Fees - Wellness Program
525005,Insurance - Premiums
525006,Claims - Medical Retiree U 65
525007,Claims - Medical Retiree O 65
525008,Claims - Medical Active
525009,Claims - Dental
525010,Admin Fees/Dental
525011,Claims - Prescriptions
525012,Claims - Vision
525013,Claims - Disease Management
525014,Admin Fees - Cancer
525015,Admin Fees - Tri-Care Supp
525016,Admin Fees - Reinsurance
525017,Admin Fees - Vision
525018,Admin Fees - Critical Illness
525106,Admin Fees -  Medical Ret U 65
525107,Admin Fees - Medical Ret O 65
525108,Admin Fees - Medical Active
525109,Admin Fees - Dental
525999,Prior Year HRA Claims
526201,Purchases for Resale
526202,Purchases for Resale - Beer
526203,Purch Resale - Mixed Beverage
526204,Purch for Resale - Concessions
526205,Purch Resale - Vending Machine
526206,Purch for Resale - Catering
527101,Awarded Grants
527102,Transit Pass Through Grant
527200,Awarded Loans
528001,Licenses Taxes & Fees
528002,Trustee Fees
528003,Mileage Reimbursement
528004,Fitness Exams
528005,Bank Fees
528006,CNG Bank Fees
528007,Sales Tax-Non Refundable
528008,Security Monitoring System
528009,City- Wide Activities
528010,Special  Events
528011,Awards & Commendations
528012,Overages & Shortages
528013,Contingencies
528014,Hurricane Ivan
528015,Hurrican Frances
528016,Show Settlement Expense
528017,Administration Fees
528018,Promotional Tickets
528019,Nuisance Court
528020,Escrow Fees - Amerinational
528101,Right of Ways
528102,Tipping Fees
528201,Recovery Collection Fees
528202,Bad Debts
528203,Refunds
528301,Emergency Notification System
528302,Criminal Justice Info System
528303,Community  Policing
528304,Police Special Purposes
528501,Street Lighting
528502,Telephone
528503,Long Distance
528504,Radio Charges
528505,Cellular Usage
528506,Pager Service
528507,Radio Lines
528508,Electricity
528509,Electricity CNG
528510,Natural Gas
528511,Heating Oil
528512,Water
528513,Propane
528514,Sewer
528515,Water Capital Improvement Fee
528516,YMI Utilities
528517,Stormwater
528518,Gas Excise Tax
528519,CNG Excise Tax
528520,Housing Rehabs
528521,Vehicle Fuel
528522,Water and Sewer
528523,Natural Gas - CNG
528998,Powell Bill Expenses
528999,Other Expense
571001,Fleet Maintenance Charges
571002,Fleet Fuel Charges
571003,Other Fleet Charges
571004,Motor Pool Charges
571999,Contra Fleet Charges
573001,Information Technology Charges
574001,Engineering Charges
574002,Accounting Charges
574003,Planning Services Charge
574004,Public Works Charges
574005,Street Cut Utility Charges
574006,Health Services Charges
574007,Cost Transfers
574008,Charges - Cost Allocations
574010,Motor Pool Charges
581091,Depreciation Expense
581092,Depreciation - Buildings
581093,Depreciation - Improvements
581094,Depreciation - Mach & Equip
581095,Depreciation - W & S System
581096,Depreciation - Infrastructure
594001,Public Art Allocation
594002,Community Relations Council
594003,Board of Tax Supervision
594004,Board of Elections
594005,Community Arts Council
594006,Crime Stoppers
594007,Police ID Bureau
594008,Sister Cities
594009,One Youth at a Time
594010,Economic Incentives
594011,Visitor's Center
594012,Economic Development Comm
594013,YWCA
594014,Kids Voting
594015,AHOPE
594016,URTV
594017,Education Coalition
594018,United Way 211
594019,Asheville Art Museum
594020,Children First
594021,Asheville Greenworks
594022,Meet The Geeks
594023,Youthful Hand
594024,Education Channel
594025,River Sculpture Festival
594026,Center for Diversity Education
594027,Child Abuse Prevent Srvcs
594028,Design Center
594029,Hall Fletcher PTO
594030,YMI Utilities
594031,Sports Commission
594032,Governor West Residence
594033,Green Opportunities
594034,Moogfest support
595001,Other Costs
599998,Budget Control Inactive Accnts
599999,FY09 Project Expenses
611101,Land
611102,Improv- Other than Buildings
612101,Buildings
613101,Improvements
614101,Mach & Equipment
615101,Infrastructure
615102,Infrastructure - Powell Bill2
615998,Infrastructure - Powell Bill
616101,Other Capital Outlay
616102,Construction
617101,Fixed Asset Transfers
618101,Intangible Assets- Depr
618102,Intangible Assets- Non Depr
619101,Other Captial Assets-Depr
619102,Other Captial Assets- Non Depr
619999,Capital Asset Contra (FY10)
698000,Capital Outlay - Fixed Assets
699000,Captial Outlay - Fixed Assets
711101,Principal Payments
711102,Principal Payments - COPS 97C
711103,Principal Payments - COPS 97B
711104,Principal Payments - COPS 97A
711105,Principal Payments-RevBonds05
711107,Principal Payments-RevBonds07
711108,Principal Payments-DENR Loans
711150,Payment to Defease Debt
711998,Principal Payments-Powell Bill
712101,Interest Expense
712102,Interest Expense - COPS 97C
712103,Interest Expense - COPS 97B
712104,Interest Expense - COPS 97A
712105,Interest Payments-Rev Bonds 05
712107,Interest Payments-Rev Bonds 07
712201,Debt Issuance Cost
712202,Cost of Loan Servicing
712203,Original Issue Discount
712204,Cost of Issue
712205,Debt Insurance Expense
712210,Amortization of Debt Iss Costs
712211,Amortization of Refunding Loss
712220,Amortization of Prem/Discount
712302,Capitalized Int. - Buildings
712303,Capitalized Int. - Equipment
712304,Capitalized Int. - Infrastruct
712305,Cap. Int.- Improv other Build
712998,Interest Expense-Powell Bill
800110,Transfer to General Fund
800210,Transfer to Capital Reserve
800220,Transfer to Grant Fund
800223,Transfer to Comm Develop Fund
800230,Transfer to Housing Partnershp
800310,Transfer to Debt Service Fund
800410,Transfer to Gen Cap Proj Fund
800610,Transfer to Water Services
800611,Transfer to Water Cap Prj Fund
800620,Transfer to Parking Serv Fund
800621,Transfer to Parking Cap Fund
800622,Transfer to Street Cut Utility
800624,Transfer to Stormwater Fund
800625,Transfer to Stormwater Cap Fnd
800626,Transfer to Civic Center Fund
800627,Transfer to Civic Center Cap
800650,Transfer to Transit Fund
800651,Transfer to Transit Capital Fu
800670,Transfer to Golf Course
800671,Transfer to the Golf Captial F
800680,Transfer to Festivals Fund
800810,Transfer to Insurance Fund
800900,Other Financing Uses
800910,Other Financing Uses- PPA
800999,Other Financing Uses GASB54
810001,Loss on Sale of Capital Assets
897000,Project Transfers Within Fund
