Type,Budget Amount,Fund,Department,Program,Account Type,Account,Budget Year
EXPENSE,300,General Fund,Public Works,Traffic Signals-Tr,Interfund Transfers In/Out,To 310 W/S Reimb,2012
EXPENSE,300,General Fund,Public Works,Signs & Markings-Tr,Interfund Transfers In/Out,To 310 W/S Reimb,2012
EXPENSE,58000,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Traffic Supplies,2012
EXPENSE,4906,General Fund,Public Works,Adm-Comm Dev Svcs,Salaries and Wages,Expense Allowance,2012
EXPENSE,1938,General Fund,Public Works,Design/Construction,Salaries and Wages,Expense Allowance,2012
EXPENSE,504,General Fund,Public Works,Survey Services-Pw,Salaries and Wages,Expense Allowance,2012
EXPENSE,1938,General Fund,Public Works,Transportation Operations-Pw,Salaries and Wages,Expense Allowance,2012
EXPENSE,360,General Fund,Public Works,Traffic Signals-Tr,Salaries and Wages,Expense Allowance,2012
EXPENSE,403,General Fund,Public Works,Adm-Comm Dev Svcs,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,262,General Fund,Public Works,Design/Construction,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,503,General Fund,Public Works,Survey Services-Pw,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,395,General Fund,Public Works,Inspections Prog-Eng,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,420,General Fund,Public Works,Roadway,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,294,General Fund,Public Works,Cadd Services-Pw,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,405,General Fund,Public Works,Transportation Operations-Pw,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,851,General Fund,Public Works,Traffic Signals-Tr,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,509,General Fund,Public Works,Signs & Markings-Tr,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,1932,General Fund,Public Works,Adm-Comm Dev Svcs,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1380,General Fund,Public Works,Design/Construction,Direct Expenses,Wireless Data Comm,2012
EXPENSE,720,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Wireless Data Comm,2012
EXPENSE,6000,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1380,General Fund,Public Works,Cadd Services-Pw,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1992,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1750,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Repairs-Other Equip,2012
EXPENSE,112000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Traffic Signal Cost,2012
EXPENSE,37598,General Fund,Public Works,Adm-Comm Dev Svcs,Direct Expenses,Rental-Real Property,2012
EXPENSE,5479944,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Street Lighting Cost,2012
EXPENSE,100000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Radio Signal Supplies,2012
EXPENSE,744,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Rsv-Wide Area Network,2012
EXPENSE,3500,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,126000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,218805,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,7412,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,5200,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,106026,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,65766,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,60000,General Fund,Public Works,Transportation Operations-Pw,Other Expense,Grant Match City Share,2012
EXPENSE,10000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Repairs-Bldg/Structure,2012
EXPENSE,6000,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Repairs-Bldg/Structure,2012
EXPENSE,10200,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Service Contracts-Other,2012
EXPENSE,6000,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Service Contracts-Other,2012
EXPENSE,11141,General Fund,Public Works,Adm-Comm Dev Svcs,Employee Benefits,Supplemental Retirement,2012
EXPENSE,8729,General Fund,Public Works,Design/Construction,Employee Benefits,Supplemental Retirement,2012
EXPENSE,11529,General Fund,Public Works,Survey Services-Pw,Employee Benefits,Supplemental Retirement,2012
EXPENSE,11326,General Fund,Public Works,Inspections Prog-Eng,Employee Benefits,Supplemental Retirement,2012
EXPENSE,10231,General Fund,Public Works,Roadway,Employee Benefits,Supplemental Retirement,2012
EXPENSE,9814,General Fund,Public Works,Cadd Services-Pw,Employee Benefits,Supplemental Retirement,2012
EXPENSE,13505,General Fund,Public Works,Transportation Operations-Pw,Employee Benefits,Supplemental Retirement,2012
EXPENSE,25777,General Fund,Public Works,Traffic Signals-Tr,Employee Benefits,Supplemental Retirement,2012
EXPENSE,10973,General Fund,Public Works,Signs & Markings-Tr,Employee Benefits,Supplemental Retirement,2012
EXPENSE,238659,General Fund,Public Works,Adm-Comm Dev Svcs,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,400,General Fund,Public Works,Adm-Comm Dev Svcs,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,500,General Fund,Public Works,Design/Construction,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,1500,General Fund,Public Works,Survey Services-Pw,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,550,General Fund,Public Works,Inspections Prog-Eng,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,3500,General Fund,Public Works,Roadway,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,500,General Fund,Public Works,Cadd Services-Pw,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,4400,General Fund,Public Works,Transportation Operations-Pw,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,6500,General Fund,Public Works,Traffic Signals-Tr,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,2000,General Fund,Public Works,Signs & Markings-Tr,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,6790,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,19451,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,1670,General Fund,Public Works,Roadway,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,1003,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,45339,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,27736,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,17408,General Fund,Public Works,Inspections Prog-Eng,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,55296,General Fund,Public Works,Traffic Signals-Tr,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,10000,General Fund,Public Works,Signs & Markings-Tr,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,50000,General Fund,Public Works,Transportation Operations-Pw,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,15000,General Fund,Public Works,Signs & Markings-Tr,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,300,General Fund,Public Works,Design/Construction,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,10000,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,16470,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,4050,General Fund,Public Works,Roadway,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,300,General Fund,Public Works,Cadd Services-Pw,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,3300,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,51000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,37500,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,-6029,General Fund,Public Works,Adm-Comm Dev Svcs,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-2834,General Fund,Public Works,Design/Construction,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-8020,General Fund,Public Works,Survey Services-Pw,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-4828,General Fund,Public Works,Inspections Prog-Eng,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-6025,General Fund,Public Works,Roadway,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-5286,General Fund,Public Works,Cadd Services-Pw,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-4146,General Fund,Public Works,Transportation Operations-Pw,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-13757,General Fund,Public Works,Traffic Signals-Tr,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-11468,General Fund,Public Works,Signs & Markings-Tr,Employee Benefits,Health Insurance Increment,2012
EXPENSE,24119,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Special Projects & Programs,2012
EXPENSE,1000,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Computer Operations & Access,2012
EXPENSE,26625,General Fund,Public Works,Cadd Services-Pw,Direct Expenses,Computer Operations & Access,2012
EXPENSE,11200,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Computer Operations & Access,2012
EXPENSE,30000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Computer Operations & Access,2012
EXPENSE,1500,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Computer Operations & Access,2012
EXPENSE,400,General Fund,Public Works,Adm-Comm Dev Svcs,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,75,General Fund,Public Works,Design/Construction,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,450,General Fund,Public Works,Survey Services-Pw,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,200,General Fund,Public Works,Inspections Prog-Eng,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,750,General Fund,Public Works,Roadway,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,1000,General Fund,Public Works,Transportation Operations-Pw,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,800,General Fund,Public Works,Traffic Signals-Tr,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,50,General Fund,Public Works,Design/Construction,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,10000,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1645,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,100,General Fund,Public Works,Roadway,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1300,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,18000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,12000,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1368,General Fund,Public Works,Adm-Comm Dev Svcs,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,1380,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,3612,General Fund,Public Works,Inspections Prog-Eng,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,2304,General Fund,Public Works,Roadway,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,1236,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,5328,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,3540,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,1000,General Fund,Public Works,Adm-Comm Dev Svcs,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,1000,General Fund,Public Works,Design/Construction,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,300,General Fund,Public Works,Survey Services-Pw,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,2000,General Fund,Public Works,Transportation Operations-Pw,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,1000,General Fund,Public Works,Traffic Signals-Tr,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,1000,General Fund,Public Works,Signs & Markings-Tr,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,1500,General Fund,Public Works,Traffic Signals-Tr,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,2012
EXPENSE,300,General Fund,City Attorney,Adm-General Govt,Miscellaneous,Postage,2012
EXPENSE,25278,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Medicare,2012
EXPENSE,1066,General Fund,City Attorney,Adm-General Govt,Employee Benefits,FICA Temp,2012
EXPENSE,32499,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Longevity,2012
EXPENSE,120635,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Retirement,2012
EXPENSE,1703356,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Salaries-Ft,2012
EXPENSE,249,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Medicare Temp,2012
EXPENSE,500,General Fund,City Attorney,Adm-General Govt,Miscellaneous,Mileage Reimb,2012
EXPENSE,14000,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Computer Lease,2012
EXPENSE,45000,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Legal Services,2012
EXPENSE,7396,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Merit Increase,2012
EXPENSE,5831,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,77,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Range Increase,2012
EXPENSE,-14990,General Fund,City Attorney,Adm-General Govt,Employee Benefits,457 Plan Offset,2012
EXPENSE,-7396,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Earnings Offset,2012
EXPENSE,9000,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Office Supplies,2012
EXPENSE,6000,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Photocopy Maint,2012
EXPENSE,107601,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Social Security,2012
EXPENSE,7861,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Dental Insurance,2012
EXPENSE,141833,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Health Insurance,2012
EXPENSE,100,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Cable Tv Services,2012
EXPENSE,7200,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Expense Allowance,2012
EXPENSE,1569,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,8252,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Wireless Data Comm,2012
EXPENSE,1500,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,60000,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Professional Svcs-Other,2012
EXPENSE,77516,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Supplemental Retirement,2012
EXPENSE,13900,General Fund,City Attorney,Adm-General Govt,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,20000,General Fund,City Attorney,Adm-General Govt,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,2000,General Fund,City Attorney,Adm-General Govt,Capital Equipment,Office Furniture & Equip,2012
EXPENSE,10000,General Fund,City Attorney,Adm-General Govt,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,-12826,General Fund,City Attorney,Adm-General Govt,Employee Benefits,Health Insurance Increment,2012
EXPENSE,600,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Telephone/Comm (Hard Lines),2012
EXPENSE,1940,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Computer Operations & Access,2012
EXPENSE,65000,General Fund,City Attorney,Adm-General Govt,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,11329,General Fund,City Attorney,Adm-General Govt,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,6330,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Medicare,2012
EXPENSE,26420,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Uniforms,2012
EXPENSE,1029,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,FICA Temp,2012
EXPENSE,13870,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Longevity,2012
EXPENSE,30034,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Retirement,2012
EXPENSE,12000,General Fund,Fire Training,Training & Standards-Ps,Miscellaneous,Advertising,2012
EXPENSE,421126,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Salaries-Ft,2012
EXPENSE,241,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Medicare Temp,2012
EXPENSE,4212,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Wan Data Line,2012
EXPENSE,6629,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Computer Lease,2012
EXPENSE,1519,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Merit Increase,2012
EXPENSE,10000,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,22,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Range Increase,2012
EXPENSE,3500,General Fund,Fire Training,Training & Standards-Ps,Capital Equipment,Training Equip,2012
EXPENSE,-4322,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,457 Plan Offset,2012
EXPENSE,-1519,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Earnings Offset,2012
EXPENSE,4270,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Office Supplies,2012
EXPENSE,2655,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Photocopy Maint,2012
EXPENSE,21200,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Small Equipment,2012
EXPENSE,27065,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Social Security,2012
EXPENSE,3188,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Dental Insurance,2012
EXPENSE,64272,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Health Insurance,2012
EXPENSE,30000,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Medical Services,2012
EXPENSE,63500,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Training Supplies,2012
EXPENSE,393,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,10500,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Repairs-Other Equip,2012
EXPENSE,12500,General Fund,Fire Training,Training & Standards-Ps,Capital Equipment,Safety/Hazmat Equip,2012
EXPENSE,7500,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,27200,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,25000,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Service Contracts-Other,2012
EXPENSE,13096,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Supplemental Retirement,2012
EXPENSE,17530,General Fund,Fire Training,Training & Standards-Ps,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,16600,General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,-5812,General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,Health Insurance Increment,2012
EXPENSE,80964,General Fund,Fire Training,Rsv-Cor Fire Usar Reserve,Direct Expenses,Special Projects & Programs,2012
EXPENSE,1200,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Telephone/Comm (Hard Lines),2012
EXPENSE,5039,General Fund,Fire Training,Training & Standards-Ps,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,29750,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,230,General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,2362,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Medicare,2012
EXPENSE,7487,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,Medicare,2012
EXPENSE,794,General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,Medicare,2012
EXPENSE,746,General Fund,Community Svcs,Youth Employment,Employee Benefits,Medicare,2012
EXPENSE,17606,General Fund,Community Svcs,Youth Employment,Employee Benefits,FICA Temp,2012
EXPENSE,1512,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Longevity,2012
EXPENSE,9883,General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,Longevity,2012
EXPENSE,11206,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Retirement,2012
EXPENSE,35526,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,Retirement,2012
EXPENSE,3768,General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,Retirement,2012
EXPENSE,3541,General Fund,Community Svcs,Youth Employment,Employee Benefits,Retirement,2012
EXPENSE,450,General Fund,Community Svcs,Volunteer/Human Svcs,Miscellaneous,Advertising,2012
EXPENSE,18000,General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,Rsv-Program,2012
EXPENSE,160339,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Salaries-Ft,2012
EXPENSE,502079,General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,Salaries-Ft,2012
EXPENSE,54340,General Fund,Community Svcs,Volunteer/Human Svcs,Salaries and Wages,Salaries-Ft,2012
EXPENSE,50755,General Fund,Community Svcs,Youth Employment,Salaries and Wages,Salaries-Ft,2012
EXPENSE,4118,General Fund,Community Svcs,Youth Employment,Employee Benefits,Medicare Temp,2012
EXPENSE,50,General Fund,Community Svcs,Adm-Comm Dev Svcs,Miscellaneous,Mileage Reimb,2012
EXPENSE,3000,General Fund,Community Svcs,Operations-Neighborhood Svcs,Miscellaneous,Mileage Reimb,2012
EXPENSE,400,General Fund,Community Svcs,Volunteer/Human Svcs,Miscellaneous,Mileage Reimb,2012
EXPENSE,3500,General Fund,Community Svcs,Youth Employment,Miscellaneous,Mileage Reimb,2012
EXPENSE,5632,General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,Computer Lease,2012
EXPENSE,7919,General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,Computer Lease,2012
EXPENSE,1161,General Fund,Community Svcs,Volunteer/Human Svcs,Direct Expenses,Computer Lease,2012
EXPENSE,672,General Fund,Community Svcs,Youth Employment,Direct Expenses,Computer Lease,2012
EXPENSE,1013,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Merit Increase,2012
EXPENSE,4370,General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,Merit Increase,2012
EXPENSE,419,General Fund,Community Svcs,Volunteer/Human Svcs,Salaries and Wages,Merit Increase,2012
EXPENSE,709,General Fund,Community Svcs,Youth Employment,Salaries and Wages,Merit Increase,2012
EXPENSE,4300,General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,28500,General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,500,General Fund,Community Svcs,Volunteer/Human Svcs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,2500,General Fund,Community Svcs,Youth Employment,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,7,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Range Increase,2012
EXPENSE,34,General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,Range Increase,2012
EXPENSE,3,General Fund,Community Svcs,Volunteer/Human Svcs,Salaries and Wages,Range Increase,2012
EXPENSE,5,General Fund,Community Svcs,Youth Employment,Salaries and Wages,Range Increase,2012
EXPENSE,-1322,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,457 Plan Offset,2012
EXPENSE,-4660,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,457 Plan Offset,2012
EXPENSE,-510,General Fund,Community Svcs,Youth Employment,Employee Benefits,457 Plan Offset,2012
EXPENSE,-1013,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Earnings Offset,2012
EXPENSE,-4370,General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,Earnings Offset,2012
EXPENSE,-419,General Fund,Community Svcs,Volunteer/Human Svcs,Salaries and Wages,Earnings Offset,2012
EXPENSE,-709,General Fund,Community Svcs,Youth Employment,Salaries and Wages,Earnings Offset,2012
EXPENSE,1900,General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,Office Supplies,2012
EXPENSE,6250,General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,Office Supplies,2012
EXPENSE,1250,General Fund,Community Svcs,Volunteer/Human Svcs,Direct Expenses,Office Supplies,2012
EXPENSE,1500,General Fund,Community Svcs,Youth Employment,Direct Expenses,Office Supplies,2012
EXPENSE,3769,General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,Photocopy Maint,2012
EXPENSE,1700,General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,Small Equipment,2012
EXPENSE,1000,General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,Small Equipment,2012
EXPENSE,10098,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Social Security,2012
EXPENSE,32015,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,Social Security,2012
EXPENSE,3395,General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,Social Security,2012
EXPENSE,3191,General Fund,Community Svcs,Youth Employment,Employee Benefits,Social Security,2012
EXPENSE,650,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Dental Insurance,2012
EXPENSE,3666,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,Dental Insurance,2012
EXPENSE,325,General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,Dental Insurance,2012
EXPENSE,325,General Fund,Community Svcs,Youth Employment,Employee Benefits,Dental Insurance,2012
EXPENSE,11388,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Health Insurance,2012
EXPENSE,63180,General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,Health Insurance,2012
EXPENSE,5694,General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,Health Insurance,2012
EXPENSE,5694,General Fund,Community Svcs,Youth Employment,Employee Benefits,Health Insurance,2012
EXPENSE,3221,General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,Expense Allowance,2012
EXPENSE,147,General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,Group Life Ad & Di,2012
